identifier	name
AT1G08380	AT1G08380
AT1G08390	T27G7-27
AT1G08400	AT1G08400
AT1G08410	AT1G08410
AT1G08420	AT1G08420
AT1G08430	AT1G08430
AT1G08440	AT1G08440
AT1G08450	AT1G08450
AT1G08460	AT1G08460
AT1G08465	AT1G08465
AT1G08470	AT1G08470
AT1G08480	SDH6
AT1G08490	AT1G08490
AT1G08500	AT1G08500
AT1G08510	AT1G08510
AT1G08520	AT1G08520
AT1G08530	AT1G08530
AT1G08540	AT1G08540
AT1G08550	AT1G08550
AT1G08560	AT1G08560
AT1G08570	AT1G08570
AT1G08580	AT1G08580
AT1G08590	AT1G08590
AT1G08600	AT1G08600
AT1G08610	AT1G08610
AT1G08620	AT1G08620
AT1G08630	AT1G08630
AT1G08640	AT1G08640
AT1G08645	AT1G08645
AT1G08650	AT1G08650
AT1G08660	AT1G08660
AT1G08670	AT1G08670
AT1G08680	AT1G08680
AT1G08695	AT1G08695
AT1G08700	AT1G08700
AT1G08710	AT1G08710
AT1G08720	AT1G08720
AT1G08730	AT1G08730
AT1G08750	F22O13-24
AT1G08760	AT1G08760
AT1G08770	AT1G08770
AT1G08780	AT1G08780
AT1G08790	AT1G08790
AT1G08800	AT1G08800
AT1G08810	AT1G08810
AT1G08820	AT1G08820
AT1G08830	AT1G08830
AT1G08840	AT1G08840
AT1G08845	AT1G08845
AT1G08860	AT1G08860
AT1G08880	F7G19-24
AT1G08890	AT1G08890
AT1G08900	AT1G08900
AT1G08910	AT1G08910
AT1G08920	AT1G08920
AT1G08930	AT1G08930
AT1G08940	AT1G08940
AT1G08960	AT1G08960
AT1G08970	AT1G08970
AT1G08980	AT1G08980
AT1G08985	F7G19-27
AT1G08990	AT1G08990
AT1G09000	AT1G09000
AT1G09010	AT1G09010
AT1G09020	AT1G09020
AT1G09030	AT1G09030
AT1G09040	F7G19-9
AT1G09050	F7G19-8
AT1G09060	AT1G09060
AT1G09070	AT1G09070
AT1G09080	AT1G09080
AT1G09090	AT1G09090
AT1G09100	AT1G09100
AT1G09130	AT1G09130
AT1G09140	AT1G09140
AT1G09150	AT1G09150
AT1G09155	AT1G09155
AT1G09157	AT1G09157
AT1G09160	AT1G09160
AT1G09170	AT1G09170
AT1G09176	T12M4-13
AT1G09180	AT1G09180
AT1G09190	AT1G09190
AT1G09195	AT1G09195
AT1G09200	AT1G09200
AT1G09210	AT1G09210
AT1G09220	AT1G09220
AT1G09230	AT1G09230
AT1G09240	AT1G09240
AT1G09245	AT1G09245
AT1G09250	AT1G09250
AT1G09260	T12M4-3
AT1G09270	AT1G09270
AT1G09280	AT1G09280
AT1G09290	AT1G09290
AT1G09300	AT1G09300
AT1G09310	T31J12-3
AT1G09320	AT1G09320
AT1G09330	T31J12-5
AT1G09340	AT1G09340
AT1G09350	AT1G09350
AT1G09360	F14J9-2
AT1G09370	AT1G09370
AT1G09380	AT1G09380
AT1G09390	AT1G09390
AT1G09400	F14J9-6
AT1G09410	AT1G09410
AT1G09415	F14J9
AT1G09420	AT1G09420
