p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.564137157701142e-11	0.6612840212011157	0.083	0.034	7.084454553012485e-7	Meristematic cell	AT3G14415
2.7378065467624417e-11	0.23439767560301528	0.352	0.236	7.56428570804995e-7	Meristematic cell	AT3G12640
2.792221578425262e-11	0.9326730017904037	0.052	0.016	7.714628999031156e-7	Meristematic cell	AT5G20140
2.7938914836140997e-11	0.5068531358008688	0.18	0.102	7.719242780077396e-7	Meristematic cell	AT3G11960
2.8003357792416754e-11	0.10486185583375596	0.263	0.162	7.737047724466825e-7	Meristematic cell	AT1G10040
2.8110647827918243e-11	0.6238300911419632	0.11	0.052	7.766690888375532e-7	Meristematic cell	AT4G24015
2.846586151821314e-11	1.3069924026883006	0.025	0.004	7.864832878867108e-7	Meristematic cell	AT1G77010
2.85316960113035e-11	0.6214755372991894	0.042	0.011	7.883022290963044e-7	Meristematic cell	AT3G50200
2.912606060032923e-11	0.10876522785354803	0.274	0.172	8.047239283264963e-7	Meristematic cell	AT1G71830
3.0172935341490807e-11	0.23312110918047552	0.787	0.627	8.336480305500495e-7	Meristematic cell	AT4G00720
3.0414869410190976e-11	0.2631921206298862	0.811	0.646	8.403324269341665e-7	Meristematic cell	AT3G42150
3.113245555156307e-11	0.10957508230953605	0.397	0.268	8.601586144341361e-7	Meristematic cell	AT2G17540
3.153787928494798e-11	1.3824920127637936	0.041	0.011	8.713600667638276e-7	Meristematic cell	AT5G17580
3.22506007047818e-11	0.7414770268796049	0.1	0.046	8.910518468724164e-7	Meristematic cell	AT3G56300
3.236766666422161e-11	0.6967812970216949	0.081	0.034	8.942862622657788e-7	Meristematic cell	AT2G35750
3.329272310559972e-11	0.8697235863887647	0.037	0.009	9.198446466846147e-7	Meristematic cell	AT5G60810
3.340352543913766e-11	0.370509484906675	0.17	0.095	9.229060043579344e-7	Meristematic cell	AT5G65420
3.412533248151194e-11	0.2070559122437996	0.345	0.231	9.428488111316933e-7	Meristematic cell	AT1G08750
3.4601433418275576e-11	0.16894721215212227	0.442	0.31	9.560030039135359e-7	Meristematic cell	AT1G03250
3.488239853206053e-11	4.57906052919811	0.015	0.001	9.637657890423005e-7	Meristematic cell	AT1G70680
3.5559737708784954e-11	3.5849236881535154	0.015	0.001	9.824799931560195e-7	Meristematic cell	AT4G01023
3.5731073503519846e-11	3.0362292927712664	0.015	0.001	9.872138298287499e-7	Meristematic cell	AT2G43660
3.6767566366909057e-11	2.079706863465595	0.036	0.008	1.0158510911513303e-6	Meristematic cell	AT4G39970
3.6822188443706387e-11	0.1754329981151943	0.339	0.224	1.0173602445111638e-6	Meristematic cell	AT1G76710
3.754581149123723e-11	0.21353145302124	0.561	0.409	1.0373532256913935e-6	Meristematic cell	AT5G51410
3.7555373800244066e-11	0.2576358941050221	0.209	0.124	1.0376174227269433e-6	Meristematic cell	AT5G11030
3.763565707457366e-11	0.9209552224248139	0.066	0.024	1.0398355693133956e-6	Meristematic cell	AT5G40500
3.8088216421013036e-11	0.13802858360369097	0.158	0.084	1.0523393314961692e-6	Meristematic cell	AT1G77620
3.832986941578685e-11	0.15984166221693075	0.292	0.187	1.059015962088775e-6	Meristematic cell	AT2G30470
3.8731396527877286e-11	0.33334629107112557	0.236	0.145	1.0701097546687214e-6	Meristematic cell	AT4G00590
3.883460593809151e-11	0.6263996979963666	0.089	0.038	1.0729613274635302e-6	Meristematic cell	AT4G01930
